Site,Install_year,type,year,biomass,flats_mean,years_since_install,time_since_intervention,installation_year,PostInstall,YearSinceInstall,resid
Turtle C,2014,Oyster Reef,2014,507.7367859,0.6741182439029216,0,0,2014,1,0,-150.7867489279114
Turtle D,2014,Oyster Reef,2014,334.611969,0.42395155876874924,0,0,2014,1,0,-100.95327797377632
Turtle E,2014,Oyster Reef,2014,301.0341797,0.5397128313779831,0,0,2014,1,0,-31.977561896319457
Bellville Boat Ramp Site,2008,Oyster Reef,2014,779.644165,0.5538120865821838,6,6,2008,1,6,-111.80845224253574
Plantation Creek Site,2010,Oyster Reef,2015,664.6762695,0.2672847494482994,5,5,2010,1,5,124.08293042445837
Florida Passage Site,2012,Oyster Reef,2015,673.4588013,0.8281569927930832,3,3,2012,1,3,125.92190920272844
Oatland Site,2014,Oyster Reef,2015,560.0109253,0.30901227146387095,1,1,2014,1,1,121.76334918856645
Jekyll Island Boat Ramp Site,2009,Oyster Reef,2015,589.3510742,0.7507631507786837,6,6,2009,1,6,122.4941279541739
Oyster Creek Site B,2013,Oyster Reef,2015,379.9523621,0.8427652385499742,2,2,2013,1,2,115.88251496155038
Jointer Creek Oyster Reef A,2012,Oyster Reef,2015,368.6362305,0.8591063347729769,3,3,2012,1,3,65.54610192865891
Jointer Creek Oyster Reef B,2012,Oyster Reef,2015,381.6926575,0.7581334292888642,3,3,2012,1,3,70.10315623334441
Jointer Creek Oyster Reef C,2012,Oyster Reef,2015,375.5198364,0.907567274570465,3,3,2012,1,3,59.809459195815236
Jointer Creek Oyster Reef D,2012,Oyster Reef,2015,668.5827637,0.1828053198754787,3,3,2012,1,3,224.2524778281371
Turtle A,2014,Oyster Reef,2015,1119.431152,0.35457453280687334,1,1,2014,1,1,309.30747647235376
Turtle B,2014,Oyster Reef,2015,472.7538452,0.37787793278694154,1,1,2014,1,1,102.66617384668638
Turtle C,2014,Oyster Reef,2015,809.9714966,0.717527429262797,1,1,2014,1,1,147.86117038215605
Turtle D,2014,Oyster Reef,2015,565.7324219,0.46386380900036206,1,1,2014,1,1,125.92805197198908
Turtle E,2014,Oyster Reef,2015,525.2228394,0.5148432959209789,1,1,2014,1,1,188.76863065931724
Bellville Boat Ramp Site,2008,Oyster Reef,2015,775.5496216,0.5287389159202576,7,7,2008,1,7,-118.91607881561856
Plantation Creek Site,2010,Oyster Reef,2016,467.1913147,0.24936773831194092,6,6,2010,1,6,-78.07080286406949
Florida Passage Site,2012,Oyster Reef,2016,477.7077637,0.8314184844493866,4,4,2012,1,4,-71.29998806166316
Oatland Site,2014,Oyster Reef,2016,399.9281006,0.3600604732831319,2,2,2014,1,2,-41.42397441936998
Jekyll Island Boat Ramp Site,2009,Oyster Reef,2016,412.7666016,0.7286760319362987,7,7,2009,1,7,-57.034180381933425
Oyster Creek Site B,2013,Oyster Reef,2016,205.8884735,0.873513400554657,3,3,2013,1,3,-59.93394182228329
Jointer Creek Oyster Reef A,2012,Oyster Reef,2016,251.0393372,0.8351987600326538,4,4,2012,1,4,-54.687767231825745
Jointer Creek Oyster Reef B,2012,Oyster Reef,2016,266.0434875,0.7873069102113898,4,4,2012,1,4,-48.272010387813054
Jointer Creek Oyster Reef C,2012,Oyster Reef,2016,249.6875305,0.9257581233978271,4,4,2012,1,4,-68.54892983870442
Jointer Creek Oyster Reef D,2012,Oyster Reef,2016,369.8861694,0.2351249585097486,4,4,2012,1,4,-78.62390297160204
Turtle A,2014,Oyster Reef,2016,761.6461792,0.371912501075051,2,2,2014,1,2,-53.9872127264116
Turtle B,2014,Oyster Reef,2016,300.4415588,0.3689850091934204,2,2,2014,1,2,-73.5812529935211
Turtle C,2014,Oyster Reef,2016,500.2773438,0.7352267444133759,2,2,2014,1,2,-165.4197738077774
Turtle D,2014,Oyster Reef,2016,359.7756042,0.4791327823292125,2,2,2014,1,2,-84.26788868224634
Turtle E,2014,Oyster Reef,2016,280.3937073,0.5545583882115104,2,2,2014,1,2,-59.502968585046915
Bellville Boat Ramp Site,2008,Oyster Reef,2016,766.6734619,0.5228599786758423,8,8,2008,1,8,-130.8053216887023
Plantation Creek Site,2010,Oyster Reef,2017,615.9052734,0.23834497978289917,7,7,2010,1,7,65.97437734740276
Florida Passage Site,2012,Oyster Reef,2017,490.0226135,0.8239086121320724,5,5,2012,1,5,-60.45599792605486
Oatland Site,2014,Oyster Reef,2017,434.6127319,0.32214818522334093,3,3,2014,1,3,-9.84384202730638
Jekyll Island Boat Ramp Site,2009,Oyster Reef,2017,562.5775757,0.7390637944142023,8,8,2009,1,8,89.83295798195928
Oyster Creek Site B,2013,Oyster Reef,2017,232.5729065,0.8554392755031586,4,4,2013,1,4,-35.00207700611685
Jointer Creek Oyster Reef A,2012,Oyster Reef,2017,361.8076172,0.8526982814073563,5,5,2012,1,5,53.44353690768958
Jointer Creek Oyster Reef B,2012,Oyster Reef,2017,378.523407,0.7913240144650141,5,5,2012,1,5,61.48191249102945
Jointer Creek Oyster Reef C,2012,Oyster Reef,2017,361.9997559,0.936529204249382,5,5,2012,1,5,41.2372124267759
Jointer Creek Oyster Reef D,2012,Oyster Reef,2017,505.491394,0.3407175615429878,5,5,2012,1,5,52.80153512865866
Turtle A,2014,Oyster Reef,2017,872.3950195,0.3707390104730924,3,3,2014,1,3,51.251911174823135
Turtle B,2014,Oyster Reef,2017,422.9364929,0.3397269658744335,3,3,2014,1,3,44.978540666271385
Turtle C,2014,Oyster Reef,2017,790.8759155,0.6990051106973127,3,3,2014,1,3,121.59200650228911
Turtle D,2014,Oyster Reef,2017,400.5610657,0.45347587357867847,3,3,2014,1,3,-47.721550136481824
Turtle E,2014,Oyster Reef,2017,302.6229858,0.5906630630294482,3,3,2014,1,3,-40.71615722941118
Bellville Boat Ramp Site,2008,Oyster Reef,2017,1013.814941,0.5435658544301987,9,9,2008,1,9,113.32307423821374
Plantation Creek Site,2010,Oyster Reef,2018,478.2547913,0.27813748642802233,8,8,2010,1,8,-76.34488324112414
Florida Passage Site,2012,Oyster Reef,2018,480.4110107,0.8655825853347778,6,6,2012,1,6,-71.5384603904455
Oatland Site,2014,Oyster Reef,2018,431.4656372,0.3651094598074754,4,4,2014,1,4,-16.09543563524187
Jekyll Island Boat Ramp Site,2009,Oyster Reef,2018,411.9580078,0.7886863003174464,9,9,2009,1,9,-63.73044565414716
Oyster Creek Site B,2013,Oyster Reef,2018,215.7311249,0.8788602189584211,5,5,2013,1,5,-53.59642678994959
Jointer Creek Oyster Reef A,2012,Oyster Reef,2018,229.932373,0.8766460906375538,6,6,2012,1,6,-81.06868315279414
Jointer Creek Oyster Reef B,2012,Oyster Reef,2018,241.8478241,0.8439239710569382,6,6,2012,1,6,-77.91966703012704
Jointer Creek Oyster Reef C,2012,Oyster Reef,2018,234.1029358,0.9440580109755198,6,6,2012,1,6,-89.18569080774284
Jointer Creek Oyster Reef D,2012,Oyster Reef,2018,675.9727783,0.30351053675015766,6,6,2012,1,6,219.10313292892033
Turtle A,2014,Oyster Reef,2018,800.1380005,0.378045879304409,4,4,2014,1,4,-26.51482422394122
Turtle B,2014,Oyster Reef,2018,313.7560425,0.396042488515377,4,4,2014,1,4,-68.13705017393522
Turtle C,2014,Oyster Reef,2018,519.5128174,0.7307764183391224,4,4,2014,1,4,-153.3578829876434
Turtle D,2014,Oyster Reef,2018,912.2962036,0.4998450428247452,4,4,2014,1,4,459.77446480928364
Turtle E,2014,Oyster Reef,2018,281.3186646,0.6131368604573336,4,4,2014,1,4,-65.46294557377439
Bellville Boat Ramp Site,2008,Oyster Reef,2018,778.0835571,0.5479719862341881,10,10,2008,1,10,-125.42139283486904
Plantation Creek Site,2010,Oyster Reef,2019,434.525177,0.2521029102305571,9,9,2010,1,9,-124.74327602965207
Florida Passage Site,2012,Oyster Reef,2019,418.3325195,0.8791481753190359,7,7,2012,1,7,-135.0878112548371
Oatland Site,2014,Oyster Reef,2019,378.2627563,0.38096879174311954,5,5,2014,1,5,-72.40281544317833
Jekyll Island Boat Ramp Site,2009,Oyster Reef,2019,411.6583557,0.7793659915526708,10,10,2009,1,10,-66.97393349025452
Oyster Creek Site B,2013,Oyster Reef,2019,246.2842255,0.9273788062008944,6,6,2013,1,6,-24.795894373783142
Jointer Creek Oyster Reef A,2012,Oyster Reef,2019,265.0360413,0.87464501099153,7,7,2012,1,7,-48.60199071327878
Jointer Creek Oyster Reef B,2012,Oyster Reef,2019,267.323761,0.8568760355313619,7,7,2012,1,7,-55.16972675128454
Jointer Creek Oyster Reef C,2012,Oyster Reef,2019,269.4928589,0.93623126745224,7,7,2012,1,7,-56.32185084226262
Jointer Creek Oyster Reef D,2012,Oyster Reef,2019,384.3591614,0.24719240640600518,7,7,2012,1,7,-76.69027047081886
Turtle A,2014,Oyster Reef,2019,691.642395,0.3578642877665433,5,5,2014,1,5,-140.52014612270648
Turtle B,2014,Oyster Reef,2019,286.6958923,0.3725070975720882,5,5,2014,1,5,-99.13234081414271
Turtle C,2014,Oyster Reef,2019,620.6247559,0.7361658134243705,5,5,2014,1,5,-55.83273587757685
Turtle D,2014,Oyster Reef,2019,328.4882507,0.538300073809094,5,5,2014,1,5,-128.27261104495187
Turtle E,2014,Oyster Reef,2019,288.0226746,0.5732410062443126,5,5,2014,1,5,-62.20140271813858
Bellville Boat Ramp Site,2008,Oyster Reef,2019,753.8428955,0.5695077955722809,11,11,2008,1,11,-152.6751376079527
Plantation Creek Site,2010,Oyster Reef,2020,714.1369019,0.23924657702445984,10,10,2010,1,10,150.19967038182017
Florida Passage Site,2012,Oyster Reef,2020,560.9403076,0.8813046713670095,8,8,2012,1,8,6.0491171807713044
Oatland Site,2014,Oyster Reef,2020,505.9797058,0.3254276054600874,6,6,2014,1,6,52.2096351488853
Jekyll Island Boat Ramp Site,2009,Oyster Reef,2020,465.73526,0.7441199322541555,11,11,2009,1,11,-15.840864926361917
Oyster Creek Site B,2013,Oyster Reef,2020,249.8311768,0.9040205749598417,7,7,2013,1,7,-23.001511257616784
Jointer Creek Oyster Reef A,2012,Oyster Reef,2020,363.7105103,0.8782184665853326,8,8,2012,1,8,47.43550242623661
Jointer Creek Oyster Reef B,2012,Oyster Reef,2020,389.8141785,0.8450524536046115,8,8,2012,1,8,64.594694127558
Jointer Creek Oyster Reef C,2012,Oyster Reef,2020,398.0492249,0.9229916442524303,8,8,2012,1,8,69.70843202321777
Jointer Creek Oyster Reef D,2012,Oyster Reef,2020,470.1591187,0.20197428079942858,8,8,2012,1,8,4.929900329441978
Turtle A,2014,Oyster Reef,2020,1124.234375,0.3447424918413162,6,6,2014,1,6,286.5621174785283
Turtle B,2014,Oyster Reef,2020,543.611084,0.35981710130969685,6,6,2014,1,6,153.8477104456498
Turtle C,2014,Oyster Reef,2020,946.9118042,0.699916789929072,6,6,2014,1,6,266.8675210324898
Turtle D,2014,Oyster Reef,2020,654.536377,0.4575425982475281,6,6,2014,1,6,193.53639230081268
Turtle E,2014,Oyster Reef,2020,511.6781616,0.5423390939831734,6,6,2014,1,6,158.01161713749724
Bellville Boat Ramp Site,2008,Oyster Reef,2020,1094.224976,0.5513269230723381,12,12,2008,1,12,184.6938597189635
Plantation Creek Site,2010,Oyster Reef,2021,823.7886353,0.22036265706022576,11,11,2010,1,11,255.1826252932932
Florida Passage Site,2012,Oyster Reef,2021,493.2762451,0.8068696757157644,9,9,2012,1,9,-63.08580498361948
Oatland Site,2014,Oyster Reef,2021,516.5578613,0.2641570977866649,7,7,2014,1,7,59.68329174094981
Jekyll Island Boat Ramp Site,2009,Oyster Reef,2021,575.5802612,0.7376273274421692,12,12,2009,1,12,91.0603005375317
Oyster Creek Site B,2013,Oyster Reef,2021,214.5751495,0.9029679623517123,8,8,2013,1,8,-60.010106741449476
Jointer Creek Oyster Reef A,2012,Oyster Reef,2021,365.9095764,0.8981127639611562,9,9,2012,1,9,46.99759266575279
Jointer Creek Oyster Reef B,2012,Oyster Reef,2021,370.2182312,0.8418021102746328,9,9,2012,1,9,42.27275020640138
Jointer Creek Oyster Reef C,2012,Oyster Reef,2021,368.1513062,0.9264811128377914,9,9,2012,1,9,37.28443018869899
Jointer Creek Oyster Reef D,2012,Oyster Reef,2021,603.8786011,0.15339432222147778,9,9,2012,1,9,134.4695962297036
Turtle A,2014,Oyster Reef,2021,1071.091309,0.33468930050730705,7,7,2014,1,7,227.90933507976376
Turtle B,2014,Oyster Reef,2021,468.616272,0.30862032125393546,7,7,2014,1,7,74.91775800544315
Turtle C,2014,Oyster Reef,2021,734.3453979,0.6515851454301314,7,7,2014,1,7,50.71432334255712
Turtle D,2014,Oyster Reef,2021,495.0789795,0.4586138228575389,7,7,2014,1,7,29.83987184657809
Turtle E,2014,Oyster Reef,2021,448.1598816,0.5397032424807549,7,7,2014,1,7,91.05086999313397
Bellville Boat Ramp Site,2008,Oyster Reef,2021,1083.768555,0.5342936217784882,13,13,2008,1,13,171.2243555458807
Plantation Creek Site,2010,Oyster Reef,2022,479.7319641,0.2331496526797612,12,12,2010,1,12,-93.54282439523456
Florida Passage Site,2012,Oyster Reef,2022,459.2259521,0.8502052277326584,10,10,2012,1,10,-98.60695764801108
Oatland Site,2014,Oyster Reef,2022,391.1610107,0.24364039426048592,8,8,2014,1,8,-68.81805776698656
Jekyll Island Boat Ramp Site,2009,Oyster Reef,2022,408.2917175,0.7719884266455969,13,13,2009,1,13,-79.17207889857565
Oyster Creek Site B,2013,Oyster Reef,2022,207.7016296,0.8400079210599264,9,9,2013,1,9,-68.63619482528316
Jointer Creek Oyster Reef A,2012,Oyster Reef,2022,254.1144867,0.8631832748651505,10,10,2012,1,10,-67.43447289473181
Jointer Creek Oyster Reef B,2012,Oyster Reef,2022,254.1342316,0.8183018068472544,10,10,2012,1,10,-76.53724601475605
Jointer Creek Oyster Reef C,2012,Oyster Reef,2022,257.8528748,0.9296960781017939,10,10,2012,1,10,-75.54008434582067
Jointer Creek Oyster Reef D,2012,Oyster Reef,2022,355.68927,0.20467993120352423,10,10,2012,1,10,-117.89952137003553
Turtle A,2014,Oyster Reef,2022,780.2716675,0.31955772886673606,8,8,2014,1,8,-68.42002281900136
Turtle B,2014,Oyster Reef,2022,464.666687,0.32675752292076743,8,8,2014,1,8,67.03303256523566
Turtle C,2014,Oyster Reef,2022,503.0803223,0.6666794046759605,8,8,2014,1,8,-184.13754364737628
Turtle D,2014,Oyster Reef,2022,365.7023926,0.4531981597344081,8,8,2014,1,8,-103.77583800765734
Turtle E,2014,Oyster Reef,2022,320.5797729,0.5013162866234779,8,8,2014,1,8,-39.97170585123018
Bellville Boat Ramp Site,2008,Oyster Reef,2022,818.3632813,0.5178192108869553,14,14,2008,1,14,-97.19400132720318
